Ausrüstung 1;Ausrüstung 2;Ausrüstung 3;Ausrüstung 4;Waffe;Rüstung;Waffe (mit Schriftrolle);Rüstung (mit Schriftrolle);Unreine Schriftrollen;Heilige Schriftrollen;Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten
nichts;nichts;nichts;nichts;nichts;nichts;nichts;nichts;Andere Seite;Aegis des Kummers ;Aerg-Tval;Endlos verärgert;Starrer, manischer Blick.;Du sammelst zwanghaft kleine spitze Steine.;Du wirst verfolgt wegen Totschlags. Es ist ein Kopfgeld ausgesetzt.
Rucksack für 7 normal große Gegenstände;{PRÄ+4}x Fackel;nichts;ein paar schlechte Äpfel;Stab W4 Schaden;Karton-Rüstung (-W0 Schaden, Stufe 0);Stab W4 Schaden;nichts;Banane;Atem des Märtyrers;Kutz;Minderwertigkeitskomplexe;Bedeckt mit (für manche) blasphemischen Tätowierungen.;Du benutzt eine Klinge nicht, ohne sie am eigenen Fleisch zu testen. Deine Arme sind mit Narben übersät.;Du bist hoch verschuldet. Die Schulden werden an immer rücksichtslosere Gruppen weitergegeben
Sack für 10 normal große Gegenstände;Laterne mit Öl für {PRÄ+6}h;nichts;ein Haufen Totenköpfe;Kurzschwert W4 Schaden;Kettenhemd (-W4 Schaden, Stufe 2);Kurzschwert W4 Schaden;nichts;Befeuchten;Auge des Bußfertigen;Agn;Probleme mit Behörden;Verrottetes Gesicht. Trägt eine Maske.;Du kannst nicht mehr aufhören zu trinken.;Ein seltenes, begehrtes Objekt ist in deinem Besitz.
kleiner Wagen;Magnesiumband;nichts;zwei blutbefleckte Fackeln;Messer W4 Schaden;Glas-Rüstung (+W6 Schaden, Stufe -1);Messer W4 Schaden;nichts;Bräunen;Auge des Verfolgers;Kvetin;Lauter Mund;Hat drei Zehen verloren und hinkt.;Schlendernder Süchtiger. Du musst jeden Tag wetten. Wenn du verlierst, erhöhe und setzte erneut.;Du hast eine verfluchte, nie heilende Wunde.
Esel;zufällige unreine Schriftrolle;nichts;Kamm mit einem einzigen grauen Haar;Kriegshammer W6 Schaden;Antike Flak-Rüstung (-W6 Schaden, Stufe 1);Kriegshammer W6 Schaden;Karton-Rüstung (-W0 Schaden, Stufe 0);Buch;Blutregen;Arvant;Grausam;Ausgehungert: fahl und blass.;Du duldest keine Kritik jeglicher Art. Das führt zu Wut und Weinen.;Du hattest eine illegale, unmoralische und geheime Affäre mit einem Mitglied der königlichen Familie. Du hast Beweise.
nichts;spitze Nadel;nichts;Flöte (schmeckt scheußlich);Schwert W6 Schaden;Antiker Anzug aus massiven Eisenplatten (-W8 Schaden, Stufe 1);Schwert W6 Schaden;Nasse Leinwand-Tunika (+W1 Schaden, Stufe -1);Chill Touch;Brechung;Lygan;Egozentrisch;Eine Hand wurde durch einen rostigen Haken ersetzt (W6 Schaden).;Unfähig, auf den Punkt zu kommen. Du hast noch nie eine Geschichte beendet.;Du bist ein entflohenes Sektenmitglied. Verängstigt und paranoid. Andere Kultisten sind überall.
nichts;Hausapotheke {PRÄ+4}x (stoppt Blutungen/Infektionen und heilt W6 LP);nichts;kleine blutgefüllte Flasche;Bogen W6 Schaden, mit {PRÄ+10}x Pfeil;Anzug aus mächtigem Gris-Gris (-W6 Schaden, Stufe 1);Stab W4 Schaden;Rostige Kettenreste (-W1 Schaden, Stufe 0);Direkt;Dritte Hand;Belsum;Nihilistisch;Faule Zähne.;Der beste Freund ist ein Schädel. Du trägst ihn mit dir, erzählst ihm alles, vertraust niemandem.;Du bist ein Identitätsdieb, der diese Person kürzlich getötet und ersetzt hat.
nichts;Metallfeile und Dietriche;nichts;Lederarmband mit Stacheln;Flegel W8 Schaden;Ausgeschlachteter Kampfroboter (-W8 Schaden, Stufe 1);Kurzschwert W4 Schaden;Durchlöcherte Wachstuchjacke (-W1 Schaden, Stufe 0);Drehen;Enochische Syntax ;Margar;Anfällig für Drogenmissbrauch;Beeindruckend schön, beunruhigend sauber.;Du bohrst so tief in der Nase, dass sie blutet.;Du wurdest verbannt und verleugnet für nicht näher bezeichnete Taten. Du kannst niemals nach Hause gehen.
Zerrissene Jackentasche – 2 Gegenstände;Bärenfalle (Präsenz Sg14 zum Entdecken, W8 Schaden);nichts;zerbrochene Porzellanpuppe;Armbrust W8 Schaden, mit {PRÄ+10}x Bolzen;Blutgetränkte Häute (-W2 Schaden, Stufe 1);Messer W4 Schaden;Verrußtes Festgewand aus dünner Seide (+W2 Schaden, Stufe -1);Einschäumen;Falsche Dämmerung ;Belum;Innerer Konflikt;Die Hände sind mit Wunden übersät.;Du lachst hysterisch über eigene Witze, die du dann im Detail erklärtst.;Du desertiertest das Militär, nachdem du Zeuge eines Massakers wurdest, Kopfgeld ausgesetzt.
Schürze mit Taschen – 3 Gegenstände;Bombe (versiegelte Flasche, W10 Schaden);nichts;ein Stück verschimmeltes Brot;Zweihänder W10 Schaden;Bronze-Hopliten-Rüstung (-W4 Schaden, Stufe 1);Wurfmesser W4 Schaden;Zerfetztes Banner als Umhang (-W0 Schaden, Stufe 0);Fachwissen;Falsche Haut;Merkari;Gewitzt;Grauer Star (Katarakt) breitet sich langsam aber sicher in beiden Augen aus.;Ein Nihilist. Du bestehst darauf, allen zu sagen, dass du ein Nihilist bist und erklärst, warum.;Du hast vor kurzem einen nahen Verwandten ermordet.
Leinenbeutel – 3 Gegenstände;{W4}x rotes Gift (Zähigkeit Sg12 oder W10 Schaden);nichts;tote schwarze Katze;Flamberg W10 Schaden;Business-Anzug aus Leder (-W2 Schaden, Stufe 1);Blasrohr W2 Schaden;Blecherne Topfdeckel-Brustplatte (-W1 Schaden, Stufe 0);Flaum;Faulende Hand;Brint;Rachsüchtig;Langes verfilztes Haar, mindestens eine Kakerlake.;Eingefleischter Käferfresser.;Ein Puzzle-Würfel wurde falsch gelöst (oder doch nicht?) und hat eine schlummernde Abscheulichkeit geweckt.
Gürteltasche – 2 Gegenstände;Silbernes Kruzifix;nichts;Angelrute mit rostigem Haken;Khopesh W6 Schaden;Defekter und stark geflickter Raumanzug (-W8 Schaden, Stufe 1);Schleuder W4 Schaden;Enger Wollpullover mit Metallknöpfen (-W1 Schaden, Stufe 0);Fliege;Finger des Urteils;Nagl;Angsthase;Gebrochene, zerquetschte Ohren.;Ständige Schleimablagerung im Rachen. Du musst ständig husten, schnauben, spucken und schlucken.;Böse Kreaturen lieben den Geruch deiner Ausdünstungen und werden von ihnen angezogen.
Gewickeltes Tuch – 4 Gegenstände;zufällige unreine Schriftrolle;zufällige heilige Schriftrolle;Karminrote Kapuze und Maske;Gladius W6 Schaden;Dinosaurierschuppen-Harnisch (-W2 Schaden, Stufe 1);Angebundener Ziegelstein W4 Schaden;Vollgestopfter Strohumhang (brennt gut) (+W2 Schaden, Stufe -1);Fluffy;Fleischgeflüster;Börda;Faul;Ruckeln und Stottern aufgrund von Nervenschäden oder Stress.;Du verliertst immer wieder wichtige Gegenstände und vergisst wichtige Fakten.;Eine Kampfwunde hat einen Metallsplitter hinterlassen, der sich langsam deinem Herzen nähert.
