Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten;Art des Todes;Offene Schuld
Aerg-Tval;Endlos verärgert;Starrer, manischer Blick.;Unfähig, auf den Punkt zu kommen. Du hast noch nie eine Geschichte beendet.;Du wirst verfolgt wegen Totschlags. Es ist ein Kopfgeld ausgesetzt.;Von einer einstürzenden Kathedrale erschlagen, während du versucht hast, nur „ein kleines Stück Reliquie“ zu stehlen.;Du hast wissentlich jemanden für ein Verbrechen angeschwärzt, das du selbst begangen hast.
Kutz;Minderwertigkeitskomplexe;Bedeckt mit (für manche) blasphemischen Tätowierungen.;Der beste Freund ist ein Schädel. Du trägst ihn mit dir, erzählst ihm alles, vertraust niemandem.;Du bist hoch verschuldet. Die Schulden werden an immer rücksichtslosere Gruppen weitergegeben;Ertrunken in einer kniehohen Pfütze aus schwarzem Regen, zu betrunken, um aufzustehen.;Du hast einem Kind eine Hoffnung versprochen und sie nie erfüllt – absichtlich.
Agn;Probleme mit Behörden;Verrottetes Gesicht. Trägt eine Maske.;Ein Nihilist. Du bestehst darauf, allen zu sagen, dass du ein Nihilist bist und erklärst, warum.;Ein seltenes, begehrtes Objekt ist in deinem Besitz.;Von einem eigenen, schlecht gezeichneten Beschwörungskreis gefressen.;Du hast in einer Belagerung heimlich die letzte Wasserquelle vergiftet.
Kvetin;Lauter Mund;Hat drei Zehen verloren und hinkt.;Du kannst nicht anders, als auf fast jede Frage mit einer weiteren Frage zu antworten.;Du hast eine verfluchte, nie heilende Wunde.;In einem Massengrab lebendig verscharrt und erstickt, weil niemand die Namen prüfen wollte.;Du hast einen Geliebten verraten, um deine eigene Haut zu retten.
Arvant;Grausam;Ausgehungert: fahl und blass.;Für dich ist alles eine Verschwörung.;Du hattest eine illegale, unmoralische und geheime Affäre mit einem Mitglied der königlichen Familie. Du hast Beweise.;Von einem Goblinpfeil getroffen, der eigentlich für „jemand wichtigeren“ gedacht war.;Du hast Tote geplündert, noch bevor sie ganz aufgehört hatten zu atmen.
Lygan;Egozentrisch;Eine Hand wurde durch einen rostigen Haken ersetzt (W6 Schaden).;Du hast das Bedürfnis, auf alle Fehler hinzuweisen, die andere machen. Bis ins Detail.;Du bist ein entflohenes Sektenmitglied. Verängstigt und paranoid. Andere Kultisten sind überall.;Vom Basiliskenkult irrtümlich geopfert – falscher Name auf der Liste.;Du hast im Namen eines Gottes gepredigt, an den du selbst nie geglaubt hast.
Belsum;Nihilistisch;Faule Zähne.;Du bist ein schlechter Gewinner und ein noch schlechterer Verlierer. Alles ist ein Wettbewerb.;Du bist ein Identitätsdieb, der diese Person kürzlich getötet und ersetzt hat.;Im Schlaf von Ratten aufgefressen, weil du mit Käse unter dem Kopfkissen eingeschlafen bist.;Du hast einem Sterbenden eine Beichte abgenommen und seine Sünden weiterverkauft.
Margar;Anfällig für Drogenmissbrauch;Beeindruckend schön, beunruhigend sauber.;Du bist überzeugt, dass du nicht sterben kannst.;Du wurdest verbannt und verleugnet für nicht näher bezeichnete Taten. Du kannst niemals nach Hause gehen.;In einer Schenke an einer Fischgräte erstickt, während nebenan ein Dämonenangriff tobt.;Du hast einen Fluch ausgelöst und ihn wissentlich nie rückgängig gemacht, obwohl du es konntest.
Belum;Innerer Konflikt;Die Hände sind mit Wunden übersät.;Du verschluckst zwanghaft Silbermünzen, um sie für das Leben nach dem Tod zu bewahren. Du schepperst, wenn du rennst.;Du desertiertest das Militär, nachdem du Zeuge eines Massakers wurdest, Kopfgeld ausgesetzt.;Von einem Freund aus Versehen erschlagen, der „nur mal testen“ wollte, ob das Schwert wirklich verflucht ist.;Du hast einen Freund in den Wahnsinn getrieben – zum Spaß.
Merkari;Gewitzt;Grauer Star (Katarakt) breitet sich langsam aber sicher in beiden Augen aus.;Du bist ein Philosoph. Aber bist du wirklich ein Philosoph?;Du hast vor kurzem einen nahen Verwandten ermordet.;Vom eigenen Schatten erdrosselt, nachdem du ihn jahrelang ignoriert hast.;Du hast absichtlich Kinder in eine Zone voller Untoter gelockt, um „zu sehen, was passiert“.
