Ausrüstung 1;Ausrüstung 2;Ausrüstung 3;Ausrüstung 4;Waffe;Rüstung;Waffe (mit Schriftrolle);Rüstung (mit Schriftrolle);Unreine Schriftrollen;Heilige Schriftrollen;Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten;Art des Todes;Offene Schuld
nichts;nichts;nichts;nichts;nichts;nichts;nichts;nichts;Andere Seite;Aegis des Kummers ;Aerg-Tval;Endlos verärgert;Starrer, manischer Blick.;Unfähig, auf den Punkt zu kommen. Du hast noch nie eine Geschichte beendet.;Du wirst verfolgt wegen Totschlags. Es ist ein Kopfgeld ausgesetzt.;Von einer einstürzenden Kathedrale erschlagen, während du versucht hast, nur „ein kleines Stück Reliquie“ zu stehlen.;Du hast wissentlich jemanden für ein Verbrechen angeschwärzt, das du selbst begangen hast.
Rucksack für 7 normal große Gegenstände;{PRÄ+4}x Fackel;nichts;ein paar schlechte Äpfel;Stab W4 Schaden;Karton-Rüstung (-W0 Schaden, Stufe 0);Stab W4 Schaden;nichts;Banane;Atem des Märtyrers;Kutz;Minderwertigkeitskomplexe;Bedeckt mit (für manche) blasphemischen Tätowierungen.;Der beste Freund ist ein Schädel. Du trägst ihn mit dir, erzählst ihm alles, vertraust niemandem.;Du bist hoch verschuldet. Die Schulden werden an immer rücksichtslosere Gruppen weitergegeben;Ertrunken in einer kniehohen Pfütze aus schwarzem Regen, zu betrunken, um aufzustehen.;Du hast einem Kind eine Hoffnung versprochen und sie nie erfüllt – absichtlich.
Sack für 10 normal große Gegenstände;Laterne mit Öl für {PRÄ+6}h;nichts;ein Haufen Totenköpfe;Kurzschwert W4 Schaden;Kettenhemd (-W4 Schaden, Stufe 2);Kurzschwert W4 Schaden;nichts;Befeuchten;Auge des Bußfertigen;Agn;Probleme mit Behörden;Verrottetes Gesicht. Trägt eine Maske.;Ein Nihilist. Du bestehst darauf, allen zu sagen, dass du ein Nihilist bist und erklärst, warum.;Ein seltenes, begehrtes Objekt ist in deinem Besitz.;Von einem eigenen, schlecht gezeichneten Beschwörungskreis gefressen.;Du hast in einer Belagerung heimlich die letzte Wasserquelle vergiftet.
kleiner Wagen;Magnesiumband;nichts;zwei blutbefleckte Fackeln;Messer W4 Schaden;Glas-Rüstung (+W6 Schaden, Stufe -1);Messer W4 Schaden;nichts;Bräunen;Auge des Verfolgers;Kvetin;Lauter Mund;Hat drei Zehen verloren und hinkt.;Du kannst nicht anders, als auf fast jede Frage mit einer weiteren Frage zu antworten.;Du hast eine verfluchte, nie heilende Wunde.;In einem Massengrab lebendig verscharrt und erstickt, weil niemand die Namen prüfen wollte.;Du hast einen Geliebten verraten, um deine eigene Haut zu retten.
Esel;zufällige unreine Schriftrolle;nichts;Kamm mit einem einzigen grauen Haar;Kriegshammer W6 Schaden;Antike Flak-Rüstung (-W6 Schaden, Stufe 1);Kriegshammer W6 Schaden;Karton-Rüstung (-W0 Schaden, Stufe 0);Buch;Blutregen;Arvant;Grausam;Ausgehungert: fahl und blass.;Für dich ist alles eine Verschwörung.;Du hattest eine illegale, unmoralische und geheime Affäre mit einem Mitglied der königlichen Familie. Du hast Beweise.;Von einem Goblinpfeil getroffen, der eigentlich für „jemand wichtigeren“ gedacht war.;Du hast Tote geplündert, noch bevor sie ganz aufgehört hatten zu atmen.
nichts;spitze Nadel;nichts;Flöte (schmeckt scheußlich);Schwert W6 Schaden;Antiker Anzug aus massiven Eisenplatten (-W8 Schaden, Stufe 1);Schwert W6 Schaden;Nasse Leinwand-Tunika (+W1 Schaden, Stufe -1);Chill Touch;Brechung;Lygan;Egozentrisch;Eine Hand wurde durch einen rostigen Haken ersetzt (W6 Schaden).;Du hast das Bedürfnis, auf alle Fehler hinzuweisen, die andere machen. Bis ins Detail.;Du bist ein entflohenes Sektenmitglied. Verängstigt und paranoid. Andere Kultisten sind überall.;Vom Basiliskenkult irrtümlich geopfert – falscher Name auf der Liste.;Du hast im Namen eines Gottes gepredigt, an den du selbst nie geglaubt hast.
nichts;Hausapotheke {PRÄ+4}x (stoppt Blutungen/Infektionen und heilt W6 LP);nichts;kleine blutgefüllte Flasche;Bogen W6 Schaden, mit {PRÄ+10}x Pfeil;Anzug aus mächtigem Gris-Gris (-W6 Schaden, Stufe 1);Stab W4 Schaden;Rostige Kettenreste (-W1 Schaden, Stufe 0);Direkt;Dritte Hand;Belsum;Nihilistisch;Faule Zähne.;Du bist ein schlechter Gewinner und ein noch schlechterer Verlierer. Alles ist ein Wettbewerb.;Du bist ein Identitätsdieb, der diese Person kürzlich getötet und ersetzt hat.;Im Schlaf von Ratten aufgefressen, weil du mit Käse unter dem Kopfkissen eingeschlafen bist.;Du hast einem Sterbenden eine Beichte abgenommen und seine Sünden weiterverkauft.
nichts;Metallfeile und Dietriche;nichts;Lederarmband mit Stacheln;Flegel W8 Schaden;Ausgeschlachteter Kampfroboter (-W8 Schaden, Stufe 1);Kurzschwert W4 Schaden;Durchlöcherte Wachstuchjacke (-W1 Schaden, Stufe 0);Drehen;Enochische Syntax ;Margar;Anfällig für Drogenmissbrauch;Beeindruckend schön, beunruhigend sauber.;Du bist überzeugt, dass du nicht sterben kannst.;Du wurdest verbannt und verleugnet für nicht näher bezeichnete Taten. Du kannst niemals nach Hause gehen.;In einer Schenke an einer Fischgräte erstickt, während nebenan ein Dämonenangriff tobt.;Du hast einen Fluch ausgelöst und ihn wissentlich nie rückgängig gemacht, obwohl du es konntest.
Zerrissene Jackentasche – 2 Gegenstände;Bärenfalle (Präsenz Sg14 zum Entdecken, W8 Schaden);nichts;zerbrochene Porzellanpuppe;Armbrust W8 Schaden, mit {PRÄ+10}x Bolzen;Blutgetränkte Häute (-W2 Schaden, Stufe 1);Messer W4 Schaden;Verrußtes Festgewand aus dünner Seide (+W2 Schaden, Stufe -1);Einschäumen;Falsche Dämmerung ;Belum;Innerer Konflikt;Die Hände sind mit Wunden übersät.;Du verschluckst zwanghaft Silbermünzen, um sie für das Leben nach dem Tod zu bewahren. Du schepperst, wenn du rennst.;Du desertiertest das Militär, nachdem du Zeuge eines Massakers wurdest, Kopfgeld ausgesetzt.;Von einem Freund aus Versehen erschlagen, der „nur mal testen“ wollte, ob das Schwert wirklich verflucht ist.;Du hast einen Freund in den Wahnsinn getrieben – zum Spaß.
Schürze mit Taschen – 3 Gegenstände;Bombe (versiegelte Flasche, W10 Schaden);nichts;ein Stück verschimmeltes Brot;Zweihänder W10 Schaden;Bronze-Hopliten-Rüstung (-W4 Schaden, Stufe 1);Wurfmesser W4 Schaden;Zerfetztes Banner als Umhang (-W0 Schaden, Stufe 0);Fachwissen;Falsche Haut;Merkari;Gewitzt;Grauer Star (Katarakt) breitet sich langsam aber sicher in beiden Augen aus.;Du bist ein Philosoph. Aber bist du wirklich ein Philosoph?;Du hast vor kurzem einen nahen Verwandten ermordet.;Vom eigenen Schatten erdrosselt, nachdem du ihn jahrelang ignoriert hast.;Du hast absichtlich Kinder in eine Zone voller Untoter gelockt, um „zu sehen, was passiert“.
